,,,,,,,
Jh59a,"Ин., 59 зач., XVIII, 28 - XIX, 16.",Jh59a,"Ин., 59 зач., XVIII, 28 - XIX, 16.",TRUE,,,
Jh59b,"Ин., 59 зач., XVIII, 28 - XIX, 37.",Jh59b,"Ин., 59 зач., XVIII, 28 - XIX, 37.",TRUE,,,
Jh60,"Ин., 60 зач., XIX, 6-11, 13-20, 25-28, 30-35.",Jh60,"Ин., 60 зач., XIX, 6-11, 13-20, 25-28, 30-35.",FALSE,"Ин., 60 зач., Мф., XXVII, 1-2; Ин., XIX, 6-11, 13-20, 25-28, 30-35.",,
Jh61a,"Ин., 61 зач., XIX, 25-37.",Jh61a,"Ин., 61 зач., XIX, 25-37.",TRUE,,,
Jh61b,"Ин., 61 зач., XIX, 25-27; XXI, 24-25.",Jh61b,"Ин., 61 зач., XIX, 25-27; XXI, 24-25.",TRUE,,,
Jh62,"Ин., 62 зач., XIX, 38-42.",Jh62,"Ин., 62 зач., XIX, 38-42.",TRUE,,,
Jh63,"Ин., 63 зач., XX, 1-10.",Jh63,"Ин., 63 зач., XX, 1-10.",TRUE,,,
Jh64,"Ин., 64 зач., XX, 11-18.",Jh64,"Ин., 64 зач., XX, 11-18.",TRUE,,,
Jh65a,"Ин., 65 зач., XX, 19-31.",Jh65a,"Ин., 65 зач., XX, 19-31.",TRUE,,,
Jh65b,"Ин., 65 зач., XX, 19-25.",Jh65b,"Ин., 65 зач., XX, 19-25.",TRUE,,,
Jh65c,"Ин., 65 зач., XX, 19-23.",Jh65c,"Ин., 65 зач., XX, 19-23.",TRUE,,,
Jh66,"Ин., 66 зач., XXI, 1-14.",Jh66,"Ин., 66 зач., XXI, 1-14.",TRUE,,,
Jh67,"Ин., 67 зач., XXI, 14-25.",Jh67,"Ин., 67 зач., XXI, 15-25.",FALSE,,,
,,Jh68,"Ин., 68 зач., I, 1-7.",#N/A,,,
,,Jh69,"Ин., 69 зач., I, 8 - II, 6.",#N/A,,,
,,Jh70,"Ин., 70 зач., II, 7-17.",#N/A,,,
,,Jh71,"Ин., 71 зач., II, 18 - III, 10.",#N/A,,,
,,Jh72,"Ин., 72 зач., III, 10-20.",#N/A,,,
,,Jh73,"Ин., 73 зач., III, 21 - IV, 6.",#N/A,,,
,,Jh74,"Ин., 74 зач., IV, 20 - V, 21.",#N/A,,,
,,Jh75,"Ин., 75 зач., I, 1-13.",#N/A,,,
,,Jh76,"Ин., 76 зач., I, 1-15.",#N/A,"Ин., 76 зач., I, 1-10.","Ин., 76 зач., I, 1-14.",
Lk1,"Лк., 1 зач., I, 1-25, 57-68, 76, 80.",Lk1,"Лк., 1 зач., I, 1-25, 57-68, 76, 80.",TRUE,,,
Lk2,"Лк., 2 зач., I, 5-25.",Lk2,"Лк., 2 зач., I, 5-25.",TRUE,,,
Lk3a,"Лк., 3 зач., I, 24-38.",Lk3a,"Лк., 3 зач., I, 24-38.",TRUE,,,
Lk3b,"Лк., 3 зач., I, 24-25, 57-68, 76, 80.",Lk3b,"Лк., 3 зач., I, 24-25, 57-68, 76, 80.",TRUE,,,
Lk4,"Лк., 4 зач., I, 39-49, 56.",Lk4,"Лк., 4 зач., I, 39-49, 56.",TRUE,,,
Lk5,"Лк., 5 зач., II, 1-20.",Lk5,"Лк., 5 зач., II, 1-20.",TRUE,,,
Lk6,"Лк., 6 зач., II, 20-21, 40-52.",Lk6,"Лк., 6 зач., II, 20-21, 40-52.",TRUE,,,
Lk7,"Лк., 7 зач., II, 22-40.",Lk7,"Лк., 7 зач., II, 22-40.",TRUE,,,
Lk8a,"Лк., 8 зач., II, 25-32.",Lk8a,"Лк., 8 зач., II, 25-32.",TRUE,,,
Lk8b,"Лк., 8 зач., II, 25-38.",Lk8b,"Лк., 8 зач., II, 25-38.",TRUE,,,
Lk9,"Лк., 9 зач., III, 1-18.",Lk9,"Лк., 9 зач., III, 1-18.",TRUE,,,
Lk10,"Лк., 10 зач., III, 19-22.",Lk10,"Лк., 10 зач., III, 19-22.",TRUE,,,
Lk11,"Лк., 11 зач., III, 23 - IV, 1.",Lk11,"Лк., 11 зач., III, 23 - IV, 1.",TRUE,,,
Lk12,"Лк., 12 зач., IV, 1-15.",Lk12,"Лк., 12 зач., IV, 1-15.",TRUE,,,
Lk13,"Лк., 13 зач., IV, 16-22.",Lk13,"Лк., 13 зач., IV, 16-22.",TRUE,,,
Lk14,"Лк., 14 зач., IV, 22-30.",Lk14,"Лк., 14 зач., IV, 22-30.",TRUE,,,
Lk15,"Лк., 15 зач., IV, 31-36.",Lk15,"Лк., 15 зач., IV, 31-36.",TRUE,,,
Lk16,"Лк., 16 зач., IV, 37-44.",Lk16,"Лк., 16 зач., IV, 37-44.",TRUE,,,
Lk17,"Лк., 17 зач., V, 1-11.",Lk17,"Лк., 17 зач., V, 1-11.",TRUE,,,
Lk18,"Лк., 18 зач., V, 12-16.",Lk18,"Лк., 18 зач., V, 12-16.",TRUE,,,
Lk19,"Лк., 19 зач., V, 17-26.",Lk19,"Лк., 19 зач., V, 17-26.",TRUE,,,
Lk20,"Лк., 20 зач., V, 27-32.",Lk20,"Лк., 20 зач., V, 27-32.",TRUE,,,
Lk21,"Лк., 21 зач., V, 33-39.",Lk21,"Лк., 21 зач., V, 33-39.",TRUE,,,
Lk22,"Лк., 22 зач., VI, 1-10.",Lk22,"Лк., 22 зач., VI, 1-10.",TRUE,,,
Lk23,"Лк., 23 зач., VI, 12-19.",Lk23,"Лк., 23 зач., VI, 12-19.",TRUE,,,
Lk24,"Лк., 24 зач., VI, 17-23.",Lk24,"Лк., 24 зач., VI, 17-23.",TRUE,,,
Lk25,"Лк., 25 зач., VI, 24-30.",Lk25,"Лк., 25 зач., VI, 24-30.",TRUE,,,
Lk26,"Лк., 26 зач., VI, 31-36.",Lk26,"Лк., 26 зач., VI, 31-36.",TRUE,,,
Lk27,"Лк., 27 зач., VI, 37-45.",Lk27,"Лк., 27 зач., VI, 37-45.",TRUE,,,
Lk28,"Лк., 28 зач., VI, 46 - VII, 1.",Lk28,"Лк., 28 зач., VI, 46 - VII, 1.",TRUE,,,
Lk29,"Лк., 29 зач., VII, 1-10.",Lk29,"Лк., 29 зач., VII, 1-10.",TRUE,,,
Lk30,"Лк., 30 зач., VII, 11-16.",Lk30,"Лк., 30 зач., VII, 11-16.",TRUE,,,
Lk31,"Лк., 31 зач., VII, 17-30.",Lk31,"Лк., 31 зач., VII, 17-30.",TRUE,,,
Lk32,"Лк., 32 зач., VII, 31-35.",Lk32,"Лк., 32 зач., VII, 31-35.",TRUE,,,
Lk33,"Лк., 33 зач., VII, 36-50.",Lk33,"Лк., 33 зач., VII, 36-50.",TRUE,,,
Lk34,"Лк., 34 зач., VIII, 1-3.",Lk34,"Лк., 34 зач., VIII, 1-3.",TRUE,,,
Lk35,"Лк., 35 зач., VIII, 5-15.",Lk35,"Лк., 35 зач., VIII, 5-15.",TRUE,,,
Lk36,"Лк., 36 зач., VIII, 16-21.",Lk36,"Лк., 36 зач., VIII, 16-21.",TRUE,,,
Lk37,"Лк., 37 зач., VIII, 22-25.",Lk37,"Лк., 37 зач., VIII, 22-25.",TRUE,,,
Lk38,"Лк., 38 зач., VIII, 26-39.",Lk38,"Лк., 38 зач., VIII, 26-39.",TRUE,,,
Lk39,"Лк., 39 зач., VIII, 41-56.",Lk39,"Лк., 39 зач., VIII, 41-56.",TRUE,,,
Lk40,"Лк., 40 зач., IX, 1-6.",Lk40,"Лк., 40 зач., IX, 1-6.",TRUE,,,
Lk41,"Лк., 41 зач., IX, 7-11.",Lk41,"Лк., 41 зач., IX, 7-11.",TRUE,,,
Lk42,"Лк., 42 зач., IX, 12-18.",Lk42,"Лк., 42 зач., IX, 12-18.",TRUE,,,
Lk43,"Лк., 43 зач., IX, 18-22.",Lk43,"Лк., 43 зач., IX, 18-22.",TRUE,,,
Lk44,"Лк., 44 зач., IX, 23-27.",Lk44,"Лк., 44 зач., IX, 23-27.",TRUE,,,
Lk45,"Лк., 45 зач., IX, 28-36.",Lk45,"Лк., 45 зач., IX, 28-36.",TRUE,,,
Lk46,"Лк., 46 зач., IX, 37-43.",Lk46,"Лк., 46 зач., IX, 37-43.",TRUE,,,
Lk47,"Лк., 47 зач., IX, 44-50.",Lk47,"Лк., 47 зач., IX, 44-50.",TRUE,,,
Lk48a,"Лк., 48 зач., IX, 49-56.",Lk48,"Лк., 48 зач., IX, 49-56.",TRUE,,,
Lk48b,"Лк., 48 зач., IX, 51-56; X, 22-24.",,,,,,
Lk49,"Лк., 49 зач., IX, 57-62.",Lk49,"Лк., 49 зач., IX, 57-62.",TRUE,,,
Lk50a,"Лк., 50 зач., X, 1-15.",Lk50a,"Лк., 50 зач., X, 1-15.",TRUE,,,
Lk50b,"Лк., 50 зач., X, 1-21.",Lk50b,"Лк., 50 зач., X, 1-21.",TRUE,,,
